date_time,camera,video,trial,tank,group_ID,treatment,novel_bite1,novel_bite2,novel_bite3,novel_bite4,novel_bite5,novel_bite6,novel_bite7,novel_bite8,novel_numchases,novel_timechases,,,,,,,,,,,
8/17/17,3,,2,6,8D,8,1,2,3,3,5,6,7,8,2,2183,,,,,,,,,,,
8/15/17,3,,1,6,8D,8,4,5,7,8,9,10,24,N/A,3,8918,,,,,,,,,,,
9/28/17,6,1,1,12,8D_2,8,3,11,14,20,24,37,137,N/A,14,36538,,,,,,,,,,,
10/7/17,RH6,1,1,12,8D_3,8,5,7,7,8,9,12,21,46,0,0,,,,,,,,,,,
8/15/17,6,,1,11,8E,8,1,2,2,2,3,3,8,25,1,2507,,,,,,,,,,,
8/19/17,6,,3,11,8E,8,1,2,3,4,4,10,23,300,4,15681,,,,,,,,,,,
8/17/17,6,,2,11,8E,8,3,3,4,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,
9/28/17,3,2,1,5,8E_2,8,3,4,5,9,14,14,131,300,5,9098,,,,,,,,,,,
9/30/17,3,1,2,5,8E_2,8,6,7,8,11,20,90,101,300,24,59813,,,,,,,,,,,
10/2/17,3,1,3,7,8E_2,8,2,2,3,3,3,4,6,26,26,60476,,,,,,,,,,,
10/7/17,RH3,2,1,5,8E_3,8,8,8,14,26,26,34,300,300,1,6300,,,,,,,,,,,
10/9/17,3,2,2,5,8E_3,8,3,4,5,10,12,58,75,77,17,44906,,,,,,,,,,,
8/15/17,3,,1,6,8F,8,4,5,6,7,9,11,14,N/A,4,9357,8th fish doesn't move for almost the whole trial I think it was mostly dead,,,,,,,,,,
8/17/17,3,,2,6,8F,8,2,2,3,4,4,5,7,9,4,3505,,,,,,,,,,,
8/19/17,3,,3,6,8F,8,2,2,3,4,5,N/A,N/A,N/A,0,0,,,,,,,,,,,
9/28/17,3,2,1,6,8F_2,8,3,4,5,6,7,15,21,N/A,16,23998,,,,,,,,,,,
9/30/17,3,1,2,6,8F_2,8,1,2,2,3,55,64,N/A,N/A,28,47910,,,,,,,,,,,
8/15/17,6,,1,12,8G,8,1,2,3,3,4,12,15,23,0,0,,,,,,,,,,,
8/19/17,6,,3,12,8G,8,2,3,4,5,6,11,22,300,2,2264,,,,,,,,,,,
8/17/17,6,,2,12,8G,8,,,,,,,,,,,Camera malfunction missed introduced food,,,,,,,,,,
9/28/17,6,2,1,11,8G_2,8,4,6,8,11,17,24,26,131,6,5961,,,,,,,,,,,
9/30/17,6,1,2,11,8G_2,8,1,1,2,3,4,6,50,N/A,3,4677,*Only 7 fish,,,,,,,,,,
10/7/17,RH6,2,1,11,8G_3,8,2,2,2,5,6,9,22,42,7,5228,,,,,,,,,,,
10/9/17,6,1,2,11,8G_3,8,2,3,3,4,5,8,8,11,11,13124,,,,,,,,,,,
10/11/17,6,2,3,12,8G_3,8,1,1,2,2,2,3,4,8,5,6756,,,,,,,,,,,
9/28/17,6,2,1,12,8H_2,8,4,5,6,11,30,36,37,109,3,8023,,,,,,,,,,,
9/30/17,6,1,2,12,8H_2,8,2,21,23,44,,,,,28,80562,,,,,,,,,,,
10/7/17,RH6,2,1,12,8H_3,8,1,2,8,9,10,14,16,19,0,0,,,,,,,,,,,
10/9/17,6,2,2,12,8H_3,8,1,3,4,4,4,6,297,,1,726,,,,,,,,,,,
10/11/17,6,2,3,11,8H_3,8,1,1,2,3,3,3,4,6,0,0,,,,,,,,,,,
8/16/17,3,,1,6,8I,8,2,5,6,6,6,8,8,11,0,0,,,,,,,,,,,
9/29/17,3,1,1,5,8I_2,8,35,300,300,300,300,300,300,N/A,21,45706,,,,,,,,,,,
10/1/17,3,1,2,5,8I_2,8,2,2,3,4,111,300,300,300,22,76964,,,,,,,,,,,
10/8/17,3,1,1,5,8I_3,8,3,3,5,6,9,11,14,19,0,0,,,,,,,,,,,
10/10/17,3,1,2,5,8I_3,8,2,2,2,3,3,3,4,5,0,0,,,,,,,,,,,
10/12/17,3,1,3,5,8I_3,8,1,1,2,2,3,4,7,10,0,0,,,,,,,,,,,
8/16/17,3,,1,5,8J,8,3,3,4,7,11,22,41,57,0,0,,,,,,,,,,,
9/29/17,3,1,1,6,8J_2,8,2,5,6,7,8,18,49,N/A,1,1288,,,,,,,,,,,
10/8/17,3,1,1,6,8J_3,8,2,4,5,7,9,45,300,N/A,1,585,,,,,,,,,,,
10/10/17,3,1,2,6,8J_3,8,4,5,5,6,7,9,107,N/A,11,21360,,,,,,,,,,,
10/12/17,3,1,3,6,8J_3,8,2,3,4,5,7,54,300,N/A,7,6064,*Fish 7 looked like it was stuggling,,,,,,,,,,
8/16/17,6,,1,11,8K,8,3,3,4,7,8,9,11,15,0,0,,,,,,,,,,,
8/18/17,6,,2,11,8K,8,3,4,4,5,5,6,9,11,6,12764,,,,,,,,,,,
9/29/17,6,1,1,11,8K_2,8,2,4,4,5,5,6,8,23,0,0,,,,,,,,,,,
10/1/17,6,1,2,11,8K_2,8,2,2,2,2,3,4,4,10,,,,,,,,,,,,,
10/3/17,6,1,3,11,8K_2,8,2,2,2,3,4,4,4,5,1,508,,,,,,,,,,,
10/8/17,6,1,1,11,8K_3,8,2,7,10,24,36,81,N/A,N/A,0,0,,,,,,,,,,,
8/16/17,6,,1,12,8L,8,5,9,10,10,13,28,34,N/A,1,935,,,,,,,,,,,
8/18/17,6,,2,12,8L,8,3,5,6,7,11,34,124,141,24,28337,,,,,,,,,,,
8/20/17,6,1,3,12,8L,8,1,2,2,3,8,14,70,300,36,76919,,,,,,,,,,,
9/29/17,6,1,1,12,8L_2,8,2,2,3,5,11,37,38,51,6,7885,,,,,,,,,,,
10/1/17,6,1,2,12,8L_2,8,2,3,3,3,4,4,14,17,,,,,,,,,,,,,
10/8/17,6,1,1,12,8L_3,8,18,58,65,74,78,91,163,196,1,695,,,,,,,,,,,
10/10/17,6,1,2,12,8L_3,8,8,20,26,35,40,107,117,140,3,2357,,,,,,,,,,,
10/12/17,6,1,3,12,8L_3,8,11,13,13,16,18,19,30,98,0,0,,,,,,,,,,,
9/29/17,3,2,1,5,8M_2,8,4,6,7,7,12,16,19,22,7,1,,,,,,,,,,,
10/1/17,3,2,2,5,8M_2,8,1,2,2,3,3,4,4,4,17,13003,,,,,,,,,,,
10/3/17,3,1,3,5,8M_2,8,2,2,2,3,3,4,4,32,27,37081,,,,,,,,,,,
9/29/17,3,2,1,6,8N_2,8,3,4,5,5,8,14,57,148,2,1589,,,,,,,,,,,
10/1/17,3,2,2,6,8N_2,8,1,2,3,4,5,7,8,21,6,4233,,,,,,,,,,,
10/3/17,3,1,3,6,8N_2,8,1,2,2,2,3,3,4,300?,9,24859,,,,,,,,,,,
8/16/17,3,,1,5,8O,8,2,4,4,5,5,6,9,148,1,2499,,,,,,,,,,,
8/18/17,3,,2,5,8O,8,2,8,12,112,193,26,11,59,21,48429,,,,,,,,,,,
8/20/17,3,1,3,5,8O,8,2,3,4,4,5,5,7,300,38,60598,,,,,,,,,,,
