Date,Video Folder,Video #,Trial,Tank,Group,activity_numchases,activity_timechases,novel_numchases,novel_timechases,food_numchases,food_timechases,,,,,,,,,,,,,,,,,,,,,
9/30/17,RH2,1,2,4,4B_2,0,0,11,12445,12,39852,,,,,,,,,,,,,,,,,,,,,
9/30/17,RH2,2,2,4,4F_2,0,0,34,66666,11,17597,,,,,,,,,,,,,,,,,,,,,
9/30/17,RH3,1,2,5,8E_2,53,143668,55,127290,24,59813,,,,,,,,,,,,,,,,,,,,,
9/30/17,RH3,1,2,6,8F_2,24,32453,18,16401,28,47910,,,,,,,,,,,,,,,,,,,,,
9/30/17,RH4,1,2,7,2C_2,0,0,3,1083,0,0,,,,,,,,,,,,,,,,,,,,,
9/30/17,RH4,2,2,7,2G_2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
9/30/17,RH4,1,2,8,2D_2,0,0,12,46428,22,88983,,,,,,,,,,,,,,,,,,,,,
9/30/17,RH5,"1,2",2,9,4C_2,0,0,11,14130,10,8657,,,,,,,,,,,,,,,,,,,,,
9/30/17,RH5,3,2,9,4G_2,11,14617,7,5428,4,3730,,,,,,,,,,,,,,,,,,,,,
9/30/17,RH5,"1,2",2,10,4D_2,19,98903,23,81861,10,42633,,,,,,,,,,,,,,,,,,,,,
9/30/17,RH5,3,2,10,4H_2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
9/30/17,RH6,1,2,11,8G_2,47,136157,31,51564,3,4677,,,,,,,,,,,,,,,,,,,,,
9/30/17,RH6,1,2,12,8H_2,15,21543,30,61505,28,80562,,,,,,,,,,,,,,,,,,,,,
10/1/17,RH1,1,2,1,2I_2,24,56707,21,100812,19,20674,,,,,,,,,,,,,,,,,,,,,
10/1/17,RH1,2,2,1,2N_2,0,0,34,91441,8,12582,,,,,,,,,,,,,,,,,,,,,
10/1/17,RH1,1,2,2,2J_2,2,1502,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10/1/17,RH1,2,2,2,2O_2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10/1/17,RH2,1,2,3,4I_2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10/1/17,RH2,2,2,3,4M_2,1,863,18,43848,8,36251,,,,,,,,,,,,,,,,,,,,,
10/1/17,RH2,2,2,4,4O_2,5,4101,34,59755,24,20179,,,,,,,,,,,,,,,,,,,,,
10/1/17,RH3,1,2,5,8I_2,26,89368,14,40242,22,76964,,,,,,,,,,,,,,,,,,,,,
10/1/17,RH3,2,2,5,8M_2,7,12865,36,96258,17,13003,,,,,,,,,,,,,,,,,,,,,
10/1/17,RH3,2,2,6,8N_2,5,5500,23,25460,6,4233,,,,,,,,,,,,,,,,,,,,,
10/1/17,RH4,1,2,7,2L_2,15,218284,13,75810,16,90047,,,,,,,,,,,,,,,,,,,,,
10/1/17,RH4,2,2,7,2P_2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10/1/17,RH4,1,2,8,2M_2,0,0,1,1736,0,0,,,,,,,,,,,,,,,,,,,,,
10/1/17,RH5,1,2,9,4P_2,4,6339,7,16084,14,38164,,,,,,,,,,,,,,,,,,,,,
10/1/17,RH6,1,2,11,8K_2,1,366,9,7580,,,,,,,,,,,,,,,,,,,,,,,
10/1/17,RH6,2,2,11,8O_2,25,64186,79,87571,34,50342,,,,,,,,,,,,,,,,,,,,,
10/1/17,RH6,1,2,12,8L_2,1,1000,0,0,,,,,,,,,,,,,,,,,,,,,,,
10/1/17,RH6,2,2,12,8P_2,8,13826,8,6367,0,0,,,,,,,,,,,,,,,,,,,,,
10/2/17,RH1,1,3,1,2A_2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10/2/17,RH1,1,3,2,2B_2,9,10915,0,0,2,6267,,,,,,,,,,,,,,,,,,,,,
10/2/17,RH2,1,3,3,4A_2,5,7190,11,16809,13,12660,,,,,,,,,,,,,,,,,,,,,
10/2/17,RH2,2,3,3,4E_2,0,0,6,12741,8,18562,,,,,,,,,,,,,,,,,,,,,
10/2/17,RH2,1,3,4,4B_2,3,7089,8,9411,9,12436,,,,,,,,,,,,,,,,,,,,,
10/2/17,RH3,1,3,5,8E_2,12,10058,12,11359,26,60476,,,,,,,,,,,,,,,,,,,,,
10/2/17,RH4,1,3,7,2C_2,0,0,12,11962,0,0,,,,,,,,,,,,,,,,,,,,,
10/2/17,RH4,2,3,7,2G_2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10/2/17,RH4,1,3,8,2D_2,7,21452,32,72879,2,10941,,,,,,,,,,,,,,,,,,,,,
10/2/17,RH5,2,3,9,4G_2,8,14018,16,44287,0,0,,,,,,,,,,,,,,,,,,,,,
10/2/17,RH5,1,3,10,4D_2,20,138314,22,71662,7,13173,,,,,,,,,,,,,,,,,,,,,
10/2/17,RH5,2,3,10,4H_2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10/3/17,RH1,1,3,1,2I_2,7,16182,23,162510,8,25752,,,,,,,,,,,,,,,,,,,,,
10/3/17,RH1,2,3,1,2N_2,12,30435,17,28484,20,36050,,,,,,,,,,,,,,,,,,,,,
10/3/17,RH1,1,3,2,2J_2,7,11576,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10/3/17,RH2,1,3,3,4M_2,0,0,0,0,4,5298,,,,,,,,,,,,,,,,,,,,,
10/3/17,RH2,1,3,4,4O_2,3,1710,34,36600,38,78328,,,,,,,,,,,,,,,,,,,,,
10/3/17,RH3,1,3,5,8M_2,52,71615,34,43543,27,37081,,,,,,,,,,,,,,,,,,,,,
10/3/17,RH3,1,3,6,8N_2,1,905,4,2720,9,24859,,,,,,,,,,,,,,,,,,,,,
10/3/17,RH4,1,3,7,2L_2,26,172716,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10/3/17,RH4,2,3,7,2P_2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10/3/17,RH4,1,3,8,2M_2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10/3/17,RH5,"1,2",3,9,4P_2,0,0,2,837,8,16448,,,,,,,,,,,,,,,,,,,,,
10/3/17,RH6,1,3,11,8K_2,0,0,0,0,1,508,,,,,,,,,,,,,,,,,,,,,
10/3/17,RH6,2,3,11,8O_2,21,28823,111,124304,44,66265,,,,,,,,,,,,,,,,,,,,,
10/3/17,RH6,2,3,12,8P_2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10/7/17,RH1,1,1,1,2A_3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10/7/17,RH1,2,1,1,2E_3,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
10/7/17,RH1,1,1,2,2B_3,0,0,21,53078,11,44366,,,,,,,,,,,,,,,,,,,,,
10/7/17,RH1,2,1,2,2F_3,10,28070,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10/7/17,RH2,1,1,3,4A_3,0,0,2,7761,0,0,,,,,,,,,,,,,,,,,,,,,
10/7/17,RH2,2,1,3,4E_3,0,0,1,1863,1,983,,,,,,,,,,,,,,,,,,,,,
10/7/17,RH2,1,1,4,4B_3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10/7/17,RH2,2,1,4,4F_3,1,383,5,6413,5,8810,,,,,,,,,,,,,,,,,,,,,
10/7/17,RH3,1,1,5,8A_3,2,2144,24,20009,7,4760,,,,,,,,,,,,,,,,,,,,,
10/7/17,RH3,2,1,5,8E_3,0,0,9,9170,1,6300,,,,,,,,,,,,,,,,,,,,,
10/7/17,RH3,1,1,6,8B_3,,,,,7,4655,,,,,,,,,,,,,,,,,,,,,
10/7/17,RH4,"1,2",1,7,2C_3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10/7/17,RH4,3,1,7,2G_3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10/7/17,RH4,"1,2",1,8,2D_3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10/7/17,RH4,3,1,8,2H_3,0,0,6,13554,3,5850,,,,,,,,,,,,,,,,,,,,,
10/7/17,RH5,"1,2",1,9,4C_3,1,829,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10/7/17,RH5,"3,4",1,9,4G_3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10/7/17,RH5,"1,2",1,10,4D_3,NA,NA,19,52187,7,18914,,,,,,,,,,,,,,,,,,,,,
10/7/17,RH5,"3,4",1,10,4H_3,0,0,2,1103,9,13404,,,,,,,,,,,,,,,,,,,,,
10/7/17,RH6,1,1,11,8C_3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10/7/17,RH6,2,1,11,8G_3,0,0,25,23031,7,5228,,,,,,,,,,,,,,,,,,,,,
10/7/17,RH6,1,1,12,8D_3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10/7/17,RH6,2,1,12,8H_3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10/8/17,RH1,1,1,1,2I_3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10/8/17,RH2,1,1,3,4I_3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10/8/17,RH2,1,1,4,4J_3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10/8/17,RH3,1,1,5,8I_3,0,0,1,737,0,0,,,,,,,,,,,,,,,,,,,,,
10/8/17,RH3,1,1,6,8J_3,6,6699,9,5099,1,585,,,,,,,,,,,,,,,,,,,,,
10/8/17,RH6,1,1,11,8K_3,0,0,13,21461,0,0,,,,,,,,,,,,,,,,,,,,,
10/8/17,RH6,1,1,12,8L_3,0,0,0,0,1,695,,,,,,,,,,,,,,,,,,,,,
10/9/17,RH1,1,2,1,2A_3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10/9/17,RH1,2,2,1,2E_3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10/9/17,RH1,1,2,2,2B_3,8,32909,31,97836,4,10202,,,,,,,,,,,,,,,,,,,,,
10/9/17,RH1,2,2,2,2F_3,7,23791,0,0,8,32974,,,,,,,,,,,,,,,,,,,,,
10/9/17,RH2,1,2,3,4A_3,0,0,20,68983,6,14846,,,,,,,,,,,,,,,,,,,,,
10/9/17,RH2,1,2,4,4B_3,0,0,0,0,3,5818,,,,,,,,,,,,,,,,,,,,,
10/9/17,RH2,2,2,4,4F_3,3,2498,12,19273,7,18850,,,,,,,,,,,,,,,,,,,,,
10/9/17,RH3,1,2,5,8A_3,3,1833,30,31646,15,21267,,,,,,,,,,,,,,,,,,,,,
10/9/17,RH3,2,2,5,8E_3,1,336,36,37408,17,44906,,,,,,,,,,,,,,,,,,,,,
10/9/17,RH3,1,2,6,8B_3,0,0,21,13055,22,28922,,,,,,,,,,,,,,,,,,,,,
10/9/17,RH4,1,2,7,2C_3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
10/9/17,RH4,2,2,7,2G_3,0,0,4,2798,0,0,,,,,,,,,,,,,,,,,,,,,
