Date,Video Folder,Video #,Trial,Tank,Group,Novel Food,Novel Start,novel_bite1,novel_bite2,novel_bite3,novel_bite4,novel_bite5,novel_bite6,novel_bite7,novel_bite8,,,,,,,,,
8/18/17,RH1,2,2,1,2M,Bead,24:35:00,198,202,,,,,,,,,,,,,,,
10/8/17,RH1,1,1,1,2I_3,Brine,25:31:00,218,300,,,,,,,,,,,,,,,
10/2/17,RH1,1,3,1,2A_2,Plastic,28:45:00,230,300,,,,,,,,,,,,,,,
9/29/17,RH4,1,1,8,2M_2,Brine,27:18:00,240,300,,,,,,,coded as video 2 but I think it must be video 1,,,,,,,,
8/15/17,RH1 81517,"1,2",1,2,2B,Brine,42:20:00,251,300,,,,,,,,,,,,,,,
8/19/17,RH1,1,3,2,2B,Plastic,31:00:00,277,300,,,,,,,,,,,,,,,
8/20/17,RH1,2,3,2,2N,Plastic,24:51:00,300,300,,,,,,,,,,,,,,,
9/28/17,RH1,2,1,2,2F_2,Brine,28:52:00,300,300,,,,,,,,,,,,,,,
10/11/17,RH1,2,3,1,2E_3,Plastic,26:40:00,300,300,,,,,,,,,,,,,,,
8/15/17,RH1 81517,"1,2",1,1,2A,Brine,40:25:00,300,300,,,,,,,,,,,,,,,
8/17/17,RH1 81717,1,2,1,2A,Bead,30:43:00,300,300,,,,,,,,,,,,,,,
8/19/17,RH4,2,3,7,2H,Plastic,23:05,300,300,,,,,,,,,,,,,,,
9/30/17,RH4,2,2,7,2G_2,Bead,31:13:00,300,300,,,,,,,,,,,,,,,
10/7/17,RH4,"1,2",1,8,2D_3,Brine,33:56:00,300,300,,,,,,,,,,,,,,,
10/9/17,RH4,1,2,8,2D_3,Bead,27:51:00,300,300,,,,,,,,,,,,,,,
10/11/17,RH4,1,3,8,2D_3,Plastic,29:07:00,300,300,,,,,,,,,,,,,,,
8/15/17,RH1 81517,3,1,1,2E,Brine,No novel food,NA,NA,,,,,,,,,,,,,,,
